No	発売日	タイトル	メーカー	価格
1	1990/11/21	スーパーマリオワールド	任天堂	8000
2	1990/11/21	Ｆ－ＺＥＲＯ	任天堂	7000
3	1990/12/1	ボンバザル	ケムコ	6500
4	1990/12/16	アクトレイザー	エニックス	8000
5	1990/12/16	ポピュラス	イマジニア	8800
6	1990/12/21	ファイナルファイト	カプコン	8500
7	1990/12/21	グラディウスⅢ	コナミ	7800
8	1990/12/21	パイロットウイングス	任天堂	8000
9	1990/12/29	SDザ・グレイトバトル	バンプレスト	8200
10	1991/2/23	ジャンボ尾崎のホールインワン	HAL研究所	8900
11	1991/3/20	ＢＩＧ ＲＵＮ	ジャレコ	8700
12	1991/3/29	ダライアスツイン	タイトー	8500
13	1991/4/5	遙かなるオーガスタ	T&Eソフト	9800
14	1991/4/6	ウルトラマン	バンダイ	7800
15	1991/4/26	シムシティー	任天堂	8000
16	1991/5/17	スーパープロフェッショナルベースボール	ジャレコ	8700
17	1991/5/24	ドラッケン	ケムコ	8500
18	1991/5/28	ガデュリン	セタ	8800
19	1991/6/21	イースⅢ ワンダラーズ フロム イース	トンキンハウス	8800
20	1991/7/2	スーパースタジアム	セタ	8800
21	1991/7/6	機動戦士ガンダムＦ９１  フォーミュラー戦記０１２２	バンダイ	9500
22	1991/7/12	スーパーウルトラベースボール	カルチャーブレーン	8800
23	1991/7/13	スーパーアールタイプ	アイレム	8500
24	1991/7/19	がんばれゴエモン ゆき姫救出絵巻	コナミ	8800
25	1991/7/19	ファイナルファンタジーⅣ	スクウェア	8800
26	1991/7/20	バトルドッジボール  闘球大激突	バンプレスト	9600
27	1991/7/26	エリア８８	カプコン	8500
28	1991/8/9	白熱プロ野球ガンバリーグ	エピック・ソニーレコード	8500
29	1991/8/23	初段 森田将棋	セタ	8800
30	1991/8/30	スーパーテニス ワールドサーキット	トンキンハウス	7800
31	1991/8/31	ハイパーゾーン	HAL研究所	8500
32	1991/9/13	ジェリーボーイ	エピック・ソニーレコード	8500
33	1991/9/15	スーパー三國志Ⅱ	光栄	14800
34	1991/9/20	プロサッカー	イマジニア	8000
35	1991/10/4	超魔界村	カプコン	8500
36	1991/10/25	ＳＵＰＥＲ Ｅ．Ｄ．Ｆ．	ジャレコ	8700
37	1991/10/29	ファイナルファンタジーⅣ イージータイプ	スクウェア	9000
38	1991/10/31	悪魔城ドラキュラ	コナミ	8800
39	1991/11/21	ゼルダの伝説 神々のトライフォース	任天堂	8000
40	1991/11/29	雷電伝説	東映動画	8700
41	1991/12/6	ＪＯＥ＆ＭＡＣ 戦え原始人	データイースト	8500
42	1991/12/13	スーパーワギャンランド	ナムコ	8300
43	1991/12/13	ラグーン	ケムコ	8500
44	1991/12/13	スーパーフォーメーションサッカー	ヒューマン	7700
45	1991/12/13	ちびまる子ちゃん「はりきり３６５日」の巻	エポック社	8800
46	1991/12/18	レミングス	サンソフト	8500
47	1991/12/20	ダンジョン マスター	ビクターエンタテインメント	9800
48	1991/12/20	ディメンションフォース	アスミック	8500
49	1991/12/20	スーパーファイヤープロレスリング	ヒューマン	8500
50	1991/12/21	ＳＤガンダム外伝 ナイトガンダム物語 大いなる遺産	エンジェル	9500
51	1991/12/21	スーパー信長の野望 武将風雲録	光栄	11800
52	1991/12/27	反省ザルジローくんの大冒険	ナツメ	7000
53	1991/12/27	サンダースピリッツ	東芝EMI	8600
54	1991/12/28	スーパーチャイニーズワールド	カルチャーブレーン	8800
55	1991/12/29	シムアース	イマジニア	9600
56	1991/12/29	バトルコマンダー  八武衆修羅の兵法	バンプレスト	9800
57	1992/1/11	高橋名人の大冒険島	ハドソン	8500
58	1992/1/17	プロフットボール	イマジニア	7900
59	1992/1/25	ドラゴンボールZ 超サイヤ伝説	バンダイ	9500
60	1992/1/28	ロマンシング サ・ガ	スクウェア	9500
61	1992/1/31	ソウルブレイダー	エニックス	8800
62	1992/2/14	ドラゴンスレイヤー英雄伝説	エポック社	9800
63	1992/2/21	エキゾースト・ヒート	セタ	8900
64	1992/2/28	ロケッティア	アイ・ジー・エス	8900
65	1992/2/28	魂斗羅スピリッツ	コナミ	8500
66	1992/3/6	スーパーバーディラッシュ	データイースト	8800
67	1992/3/7	弟切草	チュンソフト	8800
68	1992/3/19	新世紀ＧＰＸ サイバーフォーミュラ	タカラ	8800
69	1992/3/19	Ｒ．Ｐ．Ｍ．Ｒａｃｉｎｇ	ビクターエンタテインメント	8800
70	1992/3/19	スーパー伊忍道 打倒信長	光栄	11800
71	1992/3/20	超攻合神サーディオン	アスミック	8800
72	1992/3/20	ファイナルファイトガイ	カプコン	8500
73	1992/3/27	ＳＭＡＳＨ・Ｔ．Ｖ．	アスキー	7800
74	1992/3/27	ラッシング ビート	ジャレコ	8700
75	1992/3/27	らんま１／２ 町内激闘篇	日本コンピュータシステム	8800
76	1992/3/27	ザ・グレイトバトルⅡラストファイターツイン	バンプレスト	8200
77	1992/3/27	スーパーヴァリス 赤き月の乙女	レーザーソフト	8500
78	1992/3/27	トップレーサー	ケムコ	7800
79	1992/3/27	バトルグランプリ	ナグザット	8500
80	1992/3/27	カードマスター　リムサリアの封印	HAL研究所	8900
81	1992/3/27	Ｓ．Ｔ．Ｇ．(エスティージー）	アテナ	8900
82	1992/3/27	ハットトリックヒーロー	タイトー	8000
83	1992/3/27	スーパーファミスタ	ナムコ	7900
84	1992/3/28	まじかる☆タルるートくん　ＭＡＧＩＣ ＡＤＶＥＮＴＵＲＥ	バンダイ	8000
85	1992/4/3	ウルティマⅥ　偽りの予言者	ポニーキャニオン	9800
86	1992/4/5	エアーマネジメント 大空に賭ける	光栄	11800
87	1992/4/5	オセロワールド	ツクダオリジナル	8700
88	1992/4/10	ペブルビーチの波濤	T&Eソフト	9800
89	1992/4/21	豪槍神雷伝説 武者	データム・ポリスター	8800
90	1992/4/24	摩訶摩訶	シグマ商事	8700
91	1992/4/24	ヘラクレスの栄光Ⅲ 神々の沈黙	データイースト	8800
92	1992/4/24	ＷＷＦスーパーレッスルマニア	アクレイム ジャパン	8800
93	1992/4/24	スーパーカップサッカー	ジャレコ	9000
94	1992/4/28	スーパー上海ドラゴンズアイ	ホット・ビィ	7800
95	1992/4/28	Ｆ－１ ＧＲＡＮＤ ＰＲＩＸ	ビデオシステム	9700
96	1992/4/28	スーパーアレスタ	東宝	8700
97	1992/4/28	拳闘王 ワールドチャンピオン	ソフエル	8000
98	1992/5/1	バトルブレイズ	サミー	8700
